"producto interno bruto por sectores de origen, trimestral, pesos corrientes, millones de pesos corrientes",,,,,
año,quarter,nivel1,nive2,nivel3,valor
2013,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,20784.05543
2013,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,23501.96642
2013,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,24079.69237
2013,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,23035.50346
2014,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,22870.33163
2014,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,25261.71
2014,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,26572.81264
2014,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,26594.50084
2015,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,24634.55539
2015,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,28153.98401
2015,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,27781.62447
2015,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,29136.37496
2016,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,24533.22866
